Animal ID,ID,group,nerve_term,n_perim,poly-in,blebs,tsc_a,tsc_p,tsc_no,achr_a,achr_p,ep_a,ep_p,ep_d,synaptic,overlap,coverage_area,coverage
224,1,1mo_wt,194.247,229.809,0,0,320.55,225.45,2,260.26,197.49,369.74,91.66,37.38,188.24,72.33,216.42,83.16
224,2,1mo_wt,193.362,206.231,0,0,307.95,199.79,2,222.72,204.04,340.99,84.17,29.52,178.9,80.33,191.93,86.18
224,3,1mo_wt,163.007,147.647,0,0,296.12,150.55,2,211.17,124.94,254.59,73.81,27.43,151.4,71.7,200.17,94.79
224,4,1mo_wt,207.454,190.484,0,0,333.1,184.87,2,262.42,178.9,361.54,85.12,30.87,205.62,78.36,239.58,91.3
224,5,1mo_wt,148.23,175.771,0,0,245.38,183.78,1,194.51,158.08,284.06,72.83,27.47,139.77,71.86,164.38,84.51
224,6,1mo_wt,160.435,166.89,0,0,264.88,153.89,2,210.83,161.29,277.97,74.91,29.31,159.63,75.72,191.93,91.04
224,7,1mo_wt,324.979,256.397,0,0,395.44,234.62,3,367.91,232.42,513.22,96.15,33.94,294.1,79.94,305.33,82.99
224,8,1mo_wt,196.453,274.493,0,0,277.39,238.49,2,297.04,231.93,447.89,91.33,30.01,194.12,65.35,223.57,75.27
224,9,1mo_wt,228.72,367.731,0,0,469.47,312.27,3,353.67,370.67,633.59,105.16,35.09,207.81,58.76,232.42,65.72
224,10,1mo_wt,89.921,155.801,0,0,244.5,159.87,2,149.89,116.76,201.96,70.46,28.76,89.76,59.88,113.53,75.75
224,11,1mo_wt,255.035,256.758,0,0,336.57,248.59,3,260.39,235.5,423.46,101.35,40.94,220.28,84.6,224.03,86.04
224,12,1mo_wt,195.565,265.451,0,0,400.51,356.78,3,463.12,399.24,715.79,111.93,37.14,193.74,41.83,240.8,52
224,13,1mo_wt,152.905,252.977,0,0,265.72,215.44,1,301.11,231.94,449.38,82.31,25.39,152.56,50.67,224.26,74.48
224,14,1mo_wt,220.768,289.053,0,0,347.73,227.43,2,326.43,240.14,474.98,98.42,33.29,214.81,65.81,266.18,81.54
224,15,1mo_wt,263.702,317.755,0,0,400.94,200.66,3,334.96,243.74,466.26,98.59,36.52,241.92,72.22,302.83,90.41
224,16,1mo_wt,118.406,239.067,0,0,271.99,184.85,2,237.44,229.4,373.92,83.92,30.96,117.28,49.39,201.57,84.89
224,17,1mo_wt,203.024,210.373,0,0,271.69,186.72,2,242.08,194.35,329.62,91.6,30.29,187.11,77.29,161.34,66.65
224,18,1mo_wt,149.521,225.319,0,0,277.29,172.55,3,214.35,215.25,348.08,84.49,33.38,146.25,68.23,176.82,82.49
224,19,1mo_wt,196.305,248.365,0,0,341.32,227.53,2,231.16,234.99,407.89,80.48,26.66,177.1,76.61,205.91,89.08
224,20,1mo_wt,109.503,176.393,0,0,231.59,132.43,2,167.35,172.66,311.05,72.06,27.77,106.81,63.83,138.9,83
224,21,1mo_wt,127.038,166.601,0,0,207.36,130.66,3,166.55,140.16,266.08,66.76,23.21,150.9,90.61,86.64,52.02
224,22,1mo_wt,151.275,235.976,0,0,202.93,191.53,2,203.78,230.1,315.24,78.08,28.81,145.12,71.22,166.88,81.89
224,23,1mo_wt,168.45,239.838,0,0,225.24,192.12,3,227.04,242.38,392.94,88.28,31.76,155.23,68.37,180.03,79.29
